objectid,start_time,problem_description,problem_eventid,acknowledged,r_eventid,end_time,acknowledge_message,duration,hostname
23599,2023-09-11 09:05:27,Zabbix server: More than 100 items having missing data for more than 10 minutes,3790633,0,,2023-09-11 12:49:31,,,Zabbix-Server-Active
29389,2023-09-11 09:05:24,Zabbix proxy: More than 100 items having missing data for more than 10 minutes,3790631,0,,2023-09-11 12:49:31,,,Zabbixproxy2
29302,2023-09-11 09:04:42,Zabbix proxy: More than 100 items having missing data for more than 10 minutes,3790610,0,,2023-09-11 12:49:31,,,Zabbixproxy
32225,2023-09-11 09:04:29,Port 34975 is down for sometime,3790600,0,,2023-09-11 12:49:31,,,Zabbix-Server-Active
31182,2023-09-11 08:52:50,Azure Microsoft SQL: There are errors in requests to API,3790234,0,3790278.0,2023-09-11 08:53:50,,60.0,Azure Microsoft SQL database azure-sqlserver1
23609,2023-09-11 08:48:39,Zabbix server: Utilization of icmp pinger processes is high,3790096,0,,2023-09-11 12:49:31,,,Zabbix-Server-Active
29308,2023-09-11 08:48:39,Zabbix proxy: Utilization of icmp pinger processes is high,3790097,0,,2023-09-11 12:49:31,,,Zabbixproxy
26266,2023-09-11 08:48:34,Forecast Memory Utilization High,3790092,0,3790156.0,2023-09-11 08:50:34,,120.0,Calculated and Aggregate items
29402,2023-09-11 08:46:48,Zabbix proxy: Utilization of unreachable poller processes is high,3790038,0,,2023-09-11 12:49:31,,,Zabbixproxy2
29414,2023-09-11 08:44:26,Zabbix proxy: has been restarted,3789952,0,3790300.0,2023-09-11 08:54:26,,600.0,Zabbixproxy2
26639,2023-09-11 08:44:10,has been restarted,3789939,0,3790292.0,2023-09-11 08:54:10,,600.0,Zabbix-Server-Active
29327,2023-09-11 08:43:55,Zabbix proxy: has been restarted,3789920,0,3790281.0,2023-09-11 08:53:55,,600.0,Zabbixproxy
26646,2023-09-11 08:43:47,Load average is too high,3789908,0,3789970.0,2023-09-11 08:44:47,,60.0,Zabbix-Server-Active
26607,2023-09-11 08:43:41,has been restarted,3789899,0,3790262.0,2023-09-11 08:53:41,,600.0,Linux Server
30667,2023-09-10 00:15:36,Port 8085 is down for sometime,3789891,0,,2023-09-11 12:49:31,,,Zabbix-Server-Active
26265,2023-09-09 23:20:33,Forecast CPU Utilization High,3787940,0,3788011.0,2023-09-09 23:22:33,,120.0,Calculated and Aggregate items
24738,2023-09-09 22:55:07,Website Unavailable: Facebook,3787044,0,3787221.0,2023-09-09 23:00:07,,300.0,Zabbix-Server-Standby
31212,2023-09-09 22:13:04,Azure: There are errors in requests to API,3785555,0,3785579.0,2023-09-09 22:13:53,,49.0,Azure virtual machine Ubuntu20.04
31212,2023-09-09 21:47:04,Azure: There are errors in requests to API,3784633,0,3784657.0,2023-09-09 21:47:52,,48.0,Azure virtual machine Ubuntu20.04
26646,2023-09-09 21:08:48,Load average is too high,3783281,0,3783531.0,2023-09-09 21:15:47,,419.0,Zabbix-Server-Active
32224,2023-09-09 18:49:11,mulesoft trigger,3778354,0,,2023-09-11 12:49:31,,,Zabbix-Server-Active
24738,2023-09-09 18:27:34,Website Unavailable: Facebook,3777585,0,3785272.0,2023-09-09 22:05:06,,13052.0,Zabbix-Server-Standby
31212,2023-09-09 18:23:04,Azure: There are errors in requests to API,3777425,0,3777449.0,2023-09-09 18:23:52,,48.0,Azure virtual machine Ubuntu20.04
26646,2023-09-09 18:09:00,Load average is too high,3776922,0,3776963.0,2023-09-09 18:10:03,,63.0,Zabbix-Server-Active
31212,2023-09-09 17:18:04,Azure: There are errors in requests to API,3775121,0,3775145.0,2023-09-09 17:18:51,,47.0,Azure virtual machine Ubuntu20.04
31212,2023-09-09 15:48:04,Azure: There are errors in requests to API,3771938,0,3771962.0,2023-09-09 15:48:52,,48.0,Azure virtual machine Ubuntu20.04
31212,2023-09-09 14:21:04,Azure: There are errors in requests to API,3768870,0,3768894.0,2023-09-09 14:21:51,,47.0,Azure virtual machine Ubuntu20.04
32224,2023-09-09 13:47:32,mulesoft trigger,3767671,0,3769158.0,2023-09-09 14:29:19,,2507.0,Zabbix-Server-Active
32224,2023-09-09 13:43:04,mulesoft trigger,3767515,0,3767593.0,2023-09-09 13:45:15,,131.0,Zabbix-Server-Active
32224,2023-09-09 13:38:04,mulesoft trigger,3767338,0,3767350.0,2023-09-09 13:38:31,,27.0,Zabbix-Server-Active
32224,2023-09-09 13:32:04,mulesoft trigger,3767138,0,3767289.0,2023-09-09 13:36:50,,286.0,Zabbix-Server-Active
23599,2023-09-09 13:26:27,Zabbix server: More than 100 items having missing data for more than 10 minutes,3766971,0,3789954.0,2023-09-11 08:44:27,,155880.0,Zabbix-Server-Active
29389,2023-09-09 13:26:24,Zabbix proxy: More than 100 items having missing data for more than 10 minutes,3766969,0,3789949.0,2023-09-11 08:44:24,,155880.0,Zabbixproxy2
32216,2023-09-09 13:25:36,Port 43031 is down for sometime,3766941,0,,2023-09-11 12:49:31,,,Zabbix-Server-Active
32218,2023-09-09 13:25:36,Port 46311 is down for sometime,3766942,0,,2023-09-11 12:49:31,,,Zabbix-Server-Active
32219,2023-09-09 13:25:36,Port 39581 is down for sometime,3766943,0,,2023-09-11 12:49:31,,,Zabbix-Server-Active
32220,2023-09-09 13:25:36,Port 43331 is down for sometime,3766944,0,,2023-09-11 12:49:31,,,Zabbix-Server-Active
29302,2023-09-09 13:24:42,Zabbix proxy: More than 100 items having missing data for more than 10 minutes,3766912,0,3789901.0,2023-09-11 08:43:42,,155940.0,Zabbixproxy
26266,2023-09-09 13:09:34,Forecast Memory Utilization High,3766456,0,3766487.0,2023-09-09 13:10:34,,60.0,Calculated and Aggregate items
29414,2023-09-09 13:05:26,Zabbix proxy: has been restarted,3766320,0,3766636.0,2023-09-09 13:15:26,,600.0,Zabbixproxy2
26607,2023-09-09 13:05:11,has been restarted,3766307,0,3766609.0,2023-09-09 13:14:41,,570.0,Linux Server
26639,2023-09-09 13:05:10,has been restarted,3766308,0,3766628.0,2023-09-09 13:15:10,,600.0,Zabbix-Server-Active
29327,2023-09-09 13:04:55,Zabbix proxy: has been restarted,3766286,0,3766619.0,2023-09-09 13:14:55,,600.0,Zabbixproxy
27593,2023-09-09 02:53:23,Zabbix agent is not available,3766268,0,,2023-09-11 12:49:31,,,Windows-server
26646,2023-09-09 02:21:58,Load average is too high,3765161,0,3765367.0,2023-09-09 02:27:47,,349.0,Zabbix-Server-Active
26646,2023-09-09 02:16:46,Load average is too high,3764979,0,3764980.0,2023-09-09 02:16:47,,1.0,Zabbix-Server-Active
26646,2023-09-09 02:03:46,Load average is too high,3764517,0,3764767.0,2023-09-09 02:10:47,,421.0,Zabbix-Server-Active
31212,2023-09-09 01:48:04,Azure: There are errors in requests to API,3763969,0,3763991.0,2023-09-09 01:48:53,,49.0,Azure virtual machine Ubuntu20.04
26265,2023-09-09 01:45:33,Forecast CPU Utilization High,3763876,0,3764085.0,2023-09-09 01:51:33,,360.0,Calculated and Aggregate items
26646,2023-09-09 01:08:47,Load average is too high,3762584,0,3763744.0,2023-09-09 01:41:47,,1980.0,Zabbix-Server-Active
26265,2023-09-09 01:00:33,Forecast CPU Utilization High,3762289,0,3762325.0,2023-09-09 01:01:33,,60.0,Calculated and Aggregate items
28163,2023-09-09 01:00:03,Interface MediaTek MT7921 Wi-Fi 6 802.11ax PCIe Adapter(Wi-Fi): Ethernet has changed to lower speed than it was before,3762331,0,3762472.0,2023-09-09 01:04:03,,240.0,Windows-server
32217,2023-09-09 00:56:28,Port 38455 is down for sometime,3762147,0,,2023-09-11 12:49:31,,,Zabbix-Server-Active
28163,2023-09-09 00:54:03,Interface MediaTek MT7921 Wi-Fi 6 802.11ax PCIe Adapter(Wi-Fi): Ethernet has changed to lower speed than it was before,3762116,0,3762223.0,2023-09-09 00:57:03,,180.0,Windows-server
28163,2023-09-09 00:48:03,Interface MediaTek MT7921 Wi-Fi 6 802.11ax PCIe Adapter(Wi-Fi): Ethernet has changed to lower speed than it was before,3761903,0,3762046.0,2023-09-09 00:52:03,,240.0,Windows-server
26265,2023-09-09 00:42:33,Forecast CPU Utilization High,3761646,0,3762150.0,2023-09-09 00:56:33,,840.0,Calculated and Aggregate items
26646,2023-09-09 00:41:59,Load average is too high,3761625,0,3762372.0,2023-09-09 01:02:50,,1251.0,Zabbix-Server-Active
28163,2023-09-09 00:40:03,Interface MediaTek MT7921 Wi-Fi 6 802.11ax PCIe Adapter(Wi-Fi): Ethernet has changed to lower speed than it was before,3761615,0,3761759.0,2023-09-09 00:44:03,,240.0,Windows-server
28163,2023-09-09 00:38:03,Interface MediaTek MT7921 Wi-Fi 6 802.11ax PCIe Adapter(Wi-Fi): Ethernet has changed to lower speed than it was before,3761541,0,3761579.0,2023-09-09 00:39:03,,60.0,Windows-server
26265,2023-09-09 00:35:33,Forecast CPU Utilization High,3761390,0,3761463.0,2023-09-09 00:37:33,,120.0,Calculated and Aggregate items
28163,2023-09-09 00:32:03,Interface MediaTek MT7921 Wi-Fi 6 802.11ax PCIe Adapter(Wi-Fi): Ethernet has changed to lower speed than it was before,3761322,0,3761359.0,2023-09-09 00:33:03,,60.0,Windows-server
26646,2023-09-09 00:30:47,Load average is too high,3761213,0,3761252.0,2023-09-09 00:31:47,,60.0,Zabbix-Server-Active
28163,2023-09-09 00:28:03,Interface MediaTek MT7921 Wi-Fi 6 802.11ax PCIe Adapter(Wi-Fi): Ethernet has changed to lower speed than it was before,3761172,0,3761206.0,2023-09-09 00:29:03,,60.0,Windows-server
28163,2023-09-09 00:16:03,Interface MediaTek MT7921 Wi-Fi 6 802.11ax PCIe Adapter(Wi-Fi): Ethernet has changed to lower speed than it was before,3760743,0,3761068.0,2023-09-09 00:25:03,,540.0,Windows-server
28163,2023-09-09 00:14:03,Interface MediaTek MT7921 Wi-Fi 6 802.11ax PCIe Adapter(Wi-Fi): Ethernet has changed to lower speed than it was before,3760671,0,3760707.0,2023-09-09 00:15:03,,60.0,Windows-server
26787,2023-09-09 00:06:54,Unavailable by ICMP ping,3760352,0,3794233.0,2023-09-11 10:46:53,,211199.0,AP_7_Kerala_TH
26804,2023-09-09 00:06:54,Unavailable by ICMP ping,3760353,0,3794234.0,2023-09-11 10:46:53,,211199.0,AP_8_Kerala_TH
26503,2023-09-09 00:06:45,Unavailable by ICMP ping,3760346,0,3794228.0,2023-09-11 10:46:45,,211200.0,AP_1_Mumbai_BN
28878,2023-09-09 00:06:30,Unavailable by ICMP ping,3760334,0,3794216.0,2023-09-11 10:46:30,,211200.0,AP_15_Kerala_EK
28163,2023-09-09 00:02:03,Interface MediaTek MT7921 Wi-Fi 6 802.11ax PCIe Adapter(Wi-Fi): Ethernet has changed to lower speed than it was before,3760231,0,3760595.0,2023-09-09 00:12:03,,600.0,Windows-server
