objectid,start_time,problem_description,problem_eventid,acknowledged,r_eventid,end_time,acknowledge_message,duration,hostname
26609,2023-09-04 20:51:45,High memory utilization,3621524,0,3621659.0,2023-09-04 20:55:45,,240.0,Linux Server
26609,2023-09-04 20:41:45,High memory utilization,3621186,0,3621353.0,2023-09-04 20:46:45,,300.0,Linux Server
26609,2023-09-04 20:30:45,High memory utilization,3620811,0,3620948.0,2023-09-04 20:34:45,,240.0,Linux Server
31212,2023-09-04 19:52:04,Azure: There are errors in requests to API,3619497,0,3619521.0,2023-09-04 19:52:52,,48.0,Azure virtual machine Ubuntu20.04
26609,2023-09-04 19:38:45,High memory utilization,3619045,0,3620471.0,2023-09-04 20:20:45,,2520.0,Linux Server
24738,2023-09-04 19:31:58,Website Unavailable: Facebook,3618816,0,,2023-09-04 20:59:06,,,Zabbix-Server-Standby
26609,2023-09-04 19:13:45,High memory utilization,3618203,0,3618706.0,2023-09-04 19:28:45,,900.0,Linux Server
26609,2023-09-04 18:59:45,High memory utilization,3617727,0,3617863.0,2023-09-04 19:03:45,,240.0,Linux Server
26609,2023-09-04 18:50:45,High memory utilization,3617420,0,3617558.0,2023-09-04 18:54:45,,240.0,Linux Server
26609,2023-09-04 18:39:45,High memory utilization,3617033,0,3617068.0,2023-09-04 18:40:45,,60.0,Linux Server
26609,2023-09-04 18:08:45,High memory utilization,3615947,0,3616193.0,2023-09-04 18:15:45,,420.0,Linux Server
26265,2023-09-04 18:00:33,Forecast CPU Utilization High,3615660,0,3615731.0,2023-09-04 18:02:33,,120.0,Calculated and Aggregate items
26265,2023-09-04 17:56:33,Forecast CPU Utilization High,3615514,0,3615552.0,2023-09-04 17:57:33,,60.0,Calculated and Aggregate items
26265,2023-09-04 17:51:33,Forecast CPU Utilization High,3615340,0,3615373.0,2023-09-04 17:52:33,,60.0,Calculated and Aggregate items
26609,2023-09-04 17:36:45,High memory utilization,3614825,0,3614861.0,2023-09-04 17:37:45,,60.0,Linux Server
24738,2023-09-04 17:18:28,Website Unavailable: Facebook,3614184,0,3614533.0,2023-09-04 17:28:29,,601.0,Zabbix-Server-Standby
26787,2023-09-04 16:08:54,Unavailable by ICMP ping,3611756,0,,2023-09-04 20:59:06,,,AP_7_Kerala_TH
26804,2023-09-04 16:08:54,Unavailable by ICMP ping,3611757,0,,2023-09-04 20:59:06,,,AP_8_Kerala_TH
26503,2023-09-04 16:08:45,Unavailable by ICMP ping,3611749,0,,2023-09-04 20:59:06,,,AP_1_Mumbai_BN
28878,2023-09-04 16:08:30,Unavailable by ICMP ping,3611740,0,,2023-09-04 20:59:06,,,AP_15_Kerala_EK
26646,2023-09-04 15:56:48,Load average is too high,3611325,0,3611501.0,2023-09-04 16:01:47,,299.0,Zabbix-Server-Active
24738,2023-09-04 15:55:35,Website Unavailable: Facebook,3611284,0,3614017.0,2023-09-04 17:13:39,,4684.0,Zabbix-Server-Standby
31179,2023-09-04 15:45:02,Azure Microsoft SQL: Microsoft SQL database is in unknown state,3610899,0,3610973.0,2023-09-04 15:46:50,,108.0,Azure Microsoft SQL database azure-sqlserver1
31182,2023-09-04 15:45:02,Azure Microsoft SQL: There are errors in requests to API,3610901,0,3610975.0,2023-09-04 15:46:50,,108.0,Azure Microsoft SQL database azure-sqlserver1
29734,2023-09-04 15:39:56,PostgreSQL: Configuration has changed,3610704,0,3612839.0,2023-09-04 16:39:56,,3600.0,PG2c
29737,2023-09-04 15:32:57,PostgreSQL: Service is down,3610460,0,,2023-09-04 20:59:06,,,PG2c
26614,2023-09-04 15:11:19,Load average is too high,3609633,0,3609980.0,2023-09-04 15:21:18,,599.0,Linux Server
24214,2023-09-04 15:10:35,Website Unavailable: Grafana,3609608,0,,2023-09-04 20:59:06,,,Web Scenario
23296,2023-09-04 15:09:29,Website Unavailable: Grafana,3609565,0,,2023-09-04 20:59:06,,,Zabbix-Server-Standby
26646,2023-09-04 14:06:48,Load average is too high,3607330,0,3607476.0,2023-09-04 14:10:47,,239.0,Zabbix-Server-Active
31212,2023-09-04 13:35:05,Azure: There are errors in requests to API,3606201,0,3606226.0,2023-09-04 13:35:52,,47.0,Azure virtual machine Ubuntu20.04
26614,2023-09-04 13:01:19,Load average is too high,3604999,0,3605177.0,2023-09-04 13:06:18,,299.0,Linux Server
26646,2023-09-04 13:00:47,Load average is too high,3604979,0,3605018.0,2023-09-04 13:01:47,,60.0,Zabbix-Server-Active
26646,2023-09-04 12:53:47,Load average is too high,3604734,0,3604804.0,2023-09-04 12:55:47,,120.0,Zabbix-Server-Active
26614,2023-09-04 12:53:18,Load average is too high,3604715,0,3604822.0,2023-09-04 12:56:18,,180.0,Linux Server
26265,2023-09-04 12:47:33,Forecast CPU Utilization High,3604513,0,3606002.0,2023-09-04 13:29:33,,2520.0,Calculated and Aggregate items
26787,2023-09-04 12:19:54,Unavailable by ICMP ping,3603552,0,3611611.0,2023-09-04 16:04:53,,13499.0,AP_7_Kerala_TH
