Time,Item Name,Value
2023-09-01 10:40:53,CPU_idle_time,71.677123
2023-09-01 10:41:53,CPU_idle_time,71.677414
2023-09-01 10:42:53,CPU_idle_time,67.196254
2023-09-01 10:43:53,CPU_idle_time,72.465101
2023-09-01 10:44:53,CPU_idle_time,69.490249
2023-09-01 10:45:53,CPU_idle_time,65.686356
2023-09-01 10:46:53,CPU_idle_time,72.418978
2023-09-01 10:47:53,CPU_idle_time,66.156804
2023-09-01 10:48:53,CPU_idle_time,67.159442
2023-09-01 10:49:53,CPU_idle_time,72.159091
2023-09-01 10:50:53,CPU_idle_time,67.716864
2023-09-01 10:51:53,CPU_idle_time,68.377497
2023-09-01 10:52:53,CPU_idle_time,72.719665
2023-09-01 10:53:53,CPU_idle_time,65.61192
2023-09-01 10:54:53,CPU_idle_time,68.625648
2023-09-01 10:55:53,CPU_idle_time,71.878139
2023-09-01 10:56:53,CPU_idle_time,68.48571
2023-09-01 10:57:53,CPU_idle_time,68.68932
2023-09-01 10:58:53,CPU_idle_time,72.639144
2023-09-01 10:59:53,CPU_idle_time,67.098554
2023-09-01 11:00:53,CPU_idle_time,69.37803
2023-09-01 11:01:53,CPU_idle_time,71.158018
2023-09-01 11:02:53,CPU_idle_time,63.701602
2023-09-01 11:03:53,CPU_idle_time,71.19779
2023-09-01 11:04:53,CPU_idle_time,70.917301
2023-09-01 11:05:53,CPU_idle_time,64.386773
2023-09-01 11:06:53,CPU_idle_time,71.997329
2023-09-01 11:07:53,CPU_idle_time,70.551839
2023-09-01 11:08:53,CPU_idle_time,66.368126
2023-09-01 11:09:53,CPU_idle_time,72.204099
2023-09-01 11:10:53,CPU_idle_time,71.999331
2023-09-01 11:11:53,CPU_idle_time,66.005357
2023-09-01 11:12:53,CPU_idle_time,71.737678
2023-09-01 11:13:53,CPU_idle_time,74.022276
2023-09-01 11:14:53,CPU_idle_time,67.570725
2023-09-01 11:15:53,CPU_idle_time,71.976598
2023-09-01 11:16:53,CPU_idle_time,66.257617
2023-09-01 11:17:53,CPU_idle_time,57.554738
2023-09-01 11:18:53,CPU_idle_time,72.498957
2023-09-01 11:19:53,CPU_idle_time,68.09205
2023-09-01 11:20:53,CPU_idle_time,57.220367
2023-09-01 11:21:53,CPU_idle_time,72.685533
2023-09-01 11:22:53,CPU_idle_time,68.61387
2023-09-01 11:23:53,CPU_idle_time,68.136641
2023-09-01 11:24:53,CPU_idle_time,72.131148
2023-09-01 11:25:53,CPU_idle_time,69.561946
2023-09-01 11:26:53,CPU_idle_time,67.59352
2023-09-01 11:27:53,CPU_idle_time,71.08142
2023-09-01 11:28:53,CPU_idle_time,69.751127
2023-09-01 11:29:53,CPU_idle_time,69.952425
2023-09-01 11:30:53,CPU_idle_time,71.618236
2023-09-01 11:31:53,CPU_idle_time,71.65374
2023-09-01 11:32:53,CPU_idle_time,69.674185
2023-09-01 11:33:53,CPU_idle_time,72.338292
2023-09-01 11:34:53,CPU_idle_time,63.24071
2023-09-01 11:35:53,CPU_idle_time,69.598263
2023-09-01 11:36:53,CPU_idle_time,72.398228
2023-09-01 11:37:53,CPU_idle_time,62.880308
2023-09-01 11:38:53,CPU_idle_time,71.312301
2023-09-01 11:39:53,CPU_idle_time,72.186039
2023-09-01 11:40:53,CPU_idle_time,64.743751
2023-09-01 11:41:53,CPU_idle_time,72.235216
2023-09-01 11:42:53,CPU_idle_time,72.553939
2023-09-01 11:43:53,CPU_idle_time,66.683413
